entry_utc,event_slug,market_slug,city,target_date,side,bucket,tier,price,shares,stake,fee,trigger_ask,peak_ask,potential_profit,status,payout,pnl,settle_utc
2026-07-19T02:23:50Z,highest-temperature-in-kuala-lumpur-on-july-19-2026,highest-temperature-in-kuala-lumpur-on-july-19-2026-31c,kuala-lumpur,2026-07-19,NO,31°C,20-29c,0.79,12.66,10.0,0.105,0.27,0.43,2.56,open,,,
2026-07-19T02:29:03Z,highest-temperature-in-shanghai-on-july-19-2026,highest-temperature-in-shanghai-on-july-19-2026-32c,shanghai,2026-07-19,NO,32°C,20-29c,0.78,12.82,10.0,0.11,0.25,0.4,2.71,open,,,
2026-07-19T02:44:16Z,highest-temperature-in-manila-on-july-19-2026,highest-temperature-in-manila-on-july-19-2026-32c,manila,2026-07-19,YES,32°C,65-74c,0.67,14.93,10.0,0.1651,0.67,0.67,4.76,open,,,
2026-07-19T02:44:16Z,highest-temperature-in-shanghai-on-july-19-2026,highest-temperature-in-shanghai-on-july-19-2026-32c,shanghai,2026-07-19,NO,32°C,10-19c,0.85,11.76,10.0,0.075,0.18,0.4,1.68,open,,,
2026-07-19T02:44:16Z,highest-temperature-in-hong-kong-on-july-19-2026,highest-temperature-in-hong-kong-on-july-19-2026-31c,hong-kong,2026-07-19,NO,31°C,20-29c,0.75,13.33,10.0,0.125,0.29,0.54,3.21,open,,,
2026-07-19T02:49:28Z,highest-temperature-in-shanghai-on-july-19-2026,highest-temperature-in-shanghai-on-july-19-2026-33c,shanghai,2026-07-19,YES,33°C,65-74c,0.7,14.29,10.0,0.15,0.7,0.7,4.14,open,,,
2026-07-19T02:49:28Z,highest-temperature-in-manila-on-july-19-2026,highest-temperature-in-manila-on-july-19-2026-33c,manila,2026-07-19,NO,33°C,20-29c,0.9,11.11,10.0,0.05,0.29,0.43,1.06,open,,,
2026-07-19T02:49:28Z,highest-temperature-in-buenos-aires-on-july-19-2026,highest-temperature-in-buenos-aires-on-july-19-2026-14c,buenos-aires,2026-07-19,NO,14°C,20-29c,0.76,13.16,10.0,0.12,0.26,0.41,3.04,open,,,
2026-07-19T02:54:40Z,highest-temperature-in-seoul-on-july-19-2026,highest-temperature-in-seoul-on-july-19-2026-28c,seoul,2026-07-19,NO,28°C,20-29c,0.73,13.7,10.0,0.135,0.29,0.44,3.56,open,,,
2026-07-19T02:59:53Z,highest-temperature-in-shenzhen-on-july-19-2026,highest-temperature-in-shenzhen-on-july-19-2026-31c,shenzhen,2026-07-19,YES,31°C,65-74c,0.69,14.49,10.0,0.155,0.69,0.69,4.33,open,,,
