entry_utc,market_slug,ccy,side,price,shares,stake,fee,model_prob,edge,end_date,status,payout,pnl,settle_utc
2026-07-09T16:10:46Z,ethereum-above-1700-on-july-12-2026,ETH,NO,0.23,43.48,10.0,0.539,0.6714,0.0862,2026-07-12T16:00:00Z,open,,,
2026-07-10T07:00:44Z,bitcoin-above-62k-on-july-12-2026,BTC,NO,0.09,111.11,10.0,0.637,0.8233,0.081,2026-07-12T16:00:00Z,open,,,
2026-07-10T07:00:44Z,bitcoin-above-62k-on-july-13-2026,BTC,NO,0.15,66.67,10.0,0.595,0.7803,0.0608,2026-07-13T16:00:00Z,open,,,
2026-07-10T07:00:44Z,bitcoin-above-66k-on-july-12-2026,BTC,YES,0.062,161.29,10.0,0.6566,0.1232,0.0571,2026-07-12T16:00:00Z,open,,,
2026-07-10T07:00:44Z,bitcoin-above-62k-on-july-11-2026,BTC,NO,0.05,200.0,10.0,0.665,0.8903,0.0564,2026-07-11T16:00:00Z,open,,,
2026-07-10T07:00:44Z,ethereum-above-1700-on-july-11-2026,ETH,NO,0.05,200.0,10.0,0.665,0.892,0.0547,2026-07-11T16:00:00Z,open,,,
2026-07-10T07:00:44Z,bitcoin-above-62k-on-july-14-2026,BTC,NO,0.19,52.63,10.0,0.567,0.75,0.0492,2026-07-14T16:00:00Z,open,,,
2026-07-10T10:28:44Z,bitcoin-above-66k-on-july-13-2026,BTC,YES,0.17,58.82,10.0,0.581,0.2252,0.0453,2026-07-13T16:00:00Z,open,,,
