market_slug,event_slug,city,target_date,first_seen_utc,max_ask,last_ask,last_scan_utc
highest-temperature-in-hong-kong-on-july-17-2026-25corbelow,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-26c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-27c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-28c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-29c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-30c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,1.0,1.0,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-31c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-32c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-33c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-34c,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-hong-kong-on-july-17-2026-35corhigher,highest-temperature-in-hong-kong-on-july-17-2026,hong-kong,2026-07-17,2026-07-18T11:25:39Z,0.001,0.001,2026-07-19T03:22:43Z
highest-temperature-in-seoul-on-july-18-2026-21corbelow,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-22c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-23c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-24c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-25c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-26c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,1.0,1.0,2026-07-18T15:36:22Z
highest-temperature-in-seoul-on-july-18-2026-27c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-28c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.002,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-29c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-30c,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-seoul-on-july-18-2026-31corhigher,highest-temperature-in-seoul-on-july-18-2026,seoul,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T15:19:59Z
highest-temperature-in-wellington-on-july-18-2026-8corbelow,highest-temperature-in-wellington-on-july-18-2026,wellington,2026-07-18,2026-07-18T11:25:39Z,0.001,0.001,2026-07-18T12:21:09Z
