entry_utc,event_slug,market_slug,city,target_date,lead_days,side,bucket,price,shares,stake,fee,p_model,market_prob,edge,n_members,potential_profit,status,payout,pnl,settle_utc
2026-07-18T08:11:54Z,highest-temperature-in-chicago-on-july-19-2026,highest-temperature-in-chicago-on-july-19-2026-80-81f,chicago,2026-07-19,1,NO,80-81°F,0.5,20.0,10.0,0.25,0.065,0.5,0.435,31,9.75,won,20.0,9.75,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-seattle-on-july-19-2026,highest-temperature-in-seattle-on-july-19-2026-82-83f,seattle,2026-07-19,1,YES,82-83°F,0.05,200.0,10.0,0.475,0.484,0.05,0.434,31,189.53,lost,0.0,-10.47,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-kuala-lumpur-on-july-20-2026,highest-temperature-in-kuala-lumpur-on-july-20-2026-30c,kuala-lumpur,2026-07-20,2,YES,30°C,0.18,55.56,10.0,0.41,0.613,0.18,0.433,31,45.15,lost,0.0,-10.41,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-kuala-lumpur-on-july-20-2026,highest-temperature-in-kuala-lumpur-on-july-20-2026-32c,kuala-lumpur,2026-07-20,2,NO,32°C,0.57,17.54,10.0,0.215,0.0,0.43,0.43,31,7.32,won,17.54,7.32,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-ankara-on-july-19-2026,highest-temperature-in-ankara-on-july-19-2026-33c,ankara,2026-07-19,1,NO,33°C,0.58,17.24,10.0,0.21,0.0,0.42,0.42,31,7.03,won,17.24,7.03,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-chengdu-on-july-19-2026,highest-temperature-in-chengdu-on-july-19-2026-35c,chengdu,2026-07-19,1,YES,35°C,0.067,149.25,10.0,0.4665,0.484,0.067,0.417,31,138.78,lost,0.0,-10.47,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-wuhan-on-july-18-2026,highest-temperature-in-wuhan-on-july-18-2026-32c,wuhan,2026-07-18,0,YES,32°C,0.068,147.06,10.0,0.466,0.484,0.068,0.416,31,136.59,lost,0.0,-10.47,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-houston-on-july-19-2026,highest-temperature-in-houston-on-july-19-2026-94-95f,houston,2026-07-19,1,NO,94-95°F,0.52,19.23,10.0,0.24,0.065,0.48,0.415,31,8.99,lost,0.0,-10.24,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-chongqing-on-july-20-2026,highest-temperature-in-chongqing-on-july-20-2026-35c,chongqing,2026-07-20,2,YES,35°C,0.07,142.86,10.0,0.465,0.484,0.07,0.414,31,132.4,lost,0.0,-10.46,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-san-francisco-on-july-18-2026,highest-temperature-in-san-francisco-on-july-18-2026-66-67f,san-francisco,2026-07-18,0,NO,66-67°F,0.59,16.95,10.0,0.205,0.0,0.41,0.41,31,6.74,won,16.95,6.74,2026-07-19T10:00:24Z
2026-07-18T08:11:54Z,highest-temperature-in-wellington-on-july-19-2026,highest-temperature-in-wellington-on-july-19-2026-14c,wellington,2026-07-19,1,NO,14°C,0.59,16.95,10.0,0.205,0.0,0.41,0.41,31,6.74,won,16.95,6.74,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-shanghai-on-july-19-2026,highest-temperature-in-shanghai-on-july-19-2026-31c,shanghai,2026-07-19,1,YES,31°C,0.11,90.91,10.0,0.445,0.516,0.11,0.406,31,80.47,lost,0.0,-10.45,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-ankara-on-july-20-2026,highest-temperature-in-ankara-on-july-20-2026-33c,ankara,2026-07-20,2,YES,33°C,0.11,90.91,10.0,0.445,0.516,0.11,0.406,31,80.47,won,90.91,80.47,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-los-angeles-on-july-19-2026,highest-temperature-in-los-angeles-on-july-19-2026-76-77f,los-angeles,2026-07-19,1,NO,76-77°F,0.6,16.67,10.0,0.2,0.0,0.4,0.4,31,6.47,lost,0.0,-10.2,2026-07-20T11:00:21Z
